Codes in den Swissbib-Records (035 $a)	URI Swissbib
ABN	http://data.swissbib.ch/organisation/ABN
ALEX	http://data.swissbib.ch/organisation/ALEX
BORIS	http://data.swissbib.ch/organisation/BORIS
BGR	http://data.swissbib.ch/organisation/BGR
CCSA	http://data.swissbib.ch/organisation/CCSA
CH-CCSA	http://data.swissbib.ch/organisation/CCSA
DDB	http://d-nb.info/gnd/1070828033
DE-599	http://d-nb.info/gnd/10140798-1
ECOD	http://data.swissbib.ch/organisation/ECOD
EDOC    http://data.swissbib.ch/organisation/EDOC
HEMU	http://data.swissbib.ch/organisation/HEMU
KBTG    http://data.swissbib.ch/organisation/KBTGV
IDSBB	http://data.swissbib.ch/organisation/IDSBB
IDSLU	http://data.swissbib.ch/organisation/IDSLU
IDSSG	http://data.swissbib.ch/organisation/IDSSG
IDSSG2	http://data.swissbib.ch/organisation/IDSSG2
LIBIB	http://data.swissbib.ch/organisation/LIBIB
NATIONALLICENCE	http://data.swissbib.ch/organisation/NATIONALLICENCE
NEBIS	http://data.swissbib.ch/organisation/NEBIS
OCoLC	http://d-nb.info/gnd/1046905-9
RERO	http://data.swissbib.ch/organisation/RERO
RETROS	http://data.swissbib.ch/organisation/RETROS
SBT	http://data.swissbib.ch/organisation/SBT
SERVAL	http://data.swissbib.ch/organisation/SERVAL
SGBN	http://data.swissbib.ch/organisation/SGBN
SLB	http://data.swissbib.ch/organisation/SNL
SNL	http://data.swissbib.ch/organisation/SNL
Sz	http://data.swissbib.ch/organisation/SNL
VAUD	http://data.swissbib.ch/organisation/VAUD
ZORA	http://data.swissbib.ch/organisation/ZORA
