Codes in den Swissbib-Records (035 $a)	URI Swissbib
ABN	https://data.swissbib.ch/organisation/ABN
ALEX	https://data.swissbib.ch/organisation/ALEX
BORIS	https://data.swissbib.ch/organisation/BORIS
BGR	https://data.swissbib.ch/organisation/BGR
CCSA	https://data.swissbib.ch/organisation/CCSA
CH-CCSA	https://data.swissbib.ch/organisation/CCSA
DDB	http://d-nb.info/gnd/1070828033
DE-599	http://d-nb.info/gnd/10140798-1
ECOD	https://data.swissbib.ch/organisation/ECOD
EDOC    https://data.swissbib.ch/organisation/EDOC
HEMU	https://data.swissbib.ch/organisation/HEMU
KBTG    https://data.swissbib.ch/organisation/KBTGV
IDSBB	https://data.swissbib.ch/organisation/IDSBB
IDSLU	https://data.swissbib.ch/organisation/IDSLU
IDSSG	https://data.swissbib.ch/organisation/IDSSG
IDSSG2	https://data.swissbib.ch/organisation/IDSSG2
LIBIB	https://data.swissbib.ch/organisation/LIBIB
NATIONALLICENCE	https://data.swissbib.ch/organisation/NATIONALLICENCE
NEBIS	https://data.swissbib.ch/organisation/NEBIS
OCoLC	http://d-nb.info/gnd/1046905-9
RERO	https://data.swissbib.ch/organisation/RERO
RETROS	https://data.swissbib.ch/organisation/RETROS
SBT	https://data.swissbib.ch/organisation/SBT
SERVAL	https://data.swissbib.ch/organisation/SERVAL
SGBN	https://data.swissbib.ch/organisation/SGBN
SLB	https://data.swissbib.ch/organisation/SNL
SNL	https://data.swissbib.ch/organisation/SNL
Sz	https://data.swissbib.ch/organisation/SNL
VAUD	https://data.swissbib.ch/organisation/VAUD
ZORA	https://data.swissbib.ch/organisation/ZORA
